timestamps,frame_nr,left_glint1X,left_glint1Y,left_glint2X,left_glint2Y,left_pupilX,left_pupilY,right_glint1X,right_glint1Y,right_glint2X,right_glint2Y,right_pupilX,right_pupilY,pupil_area_left,pupil_area_right
1719823264.8721569,1823,1802.375,1507.925,1787.2083333333333,1508.0416666666667,1800.9883193969729,1485.0539474487305,1255.4471544715448,1519.7235772357724,1240.3010752688172,1520.215053763441,1251.983741760254,1494.4728775024414,3758.326898879309,4701.346023316951
1719823264.8944235,1824,1802.4263565891472,1508.077519379845,1787.076923076923,1508.1153846153843,1801.0969848632812,1485.133773803711,1255.4188034188037,1519.837606837607,1240.5,1520.0,1252.4277572631836,1494.3244552612305,3854.682024855466,4381.849672835068
1719823264.9172618,1825,1802.5238095238096,1507.8809523809523,1787.0,1508.0,1801.470489501953,1484.9410781860352,1255.5813953488373,1519.7364341085272,1240.5977011494251,1520.1264367816093,1252.633689880371,1495.078598022461,3946.589124743151,4825.749978326691
1719823264.9402,1826,1802.451851851852,1508.037037037037,1787.3076923076924,1508.3974358974358,1801.563262939453,1485.344825744629,1255.5528455284552,1519.8048780487804,1240.462365591398,1520.0537634408602,1251.682144165039,1494.5504684448242,3930.891583586673,5045.801349821534
1719823264.9622123,1827,1802.2916666666667,1508.2583333333332,1787.0666666666666,1508.4,1801.3119354248047,1485.5243377685547,1255.45,1520.0,1240.5,1520.5,1251.8506088256836,1494.9326705932615,3932.581436550232,4811.977267800485
1719823264.9853704,1828,1802.2416666666663,1508.5,1787.2345679012346,1508.6296296296296,1800.9240188598633,1485.5590591430664,1255.5528455284552,1520.2764227642276,1240.375,1520.5833333333333,1252.2132034301758,1494.9736404418943,3818.565621557066,4887.4999835155695
1719823265.007377,1829,1802.2416666666663,1508.5,1787.0666666666666,1508.6933333333334,1801.207374572754,1485.708381652832,1255.5,1520.5,1240.3086419753083,1520.8641975308642,1251.6939239501953,1495.2563247680664,3867.302137986405,5118.392617855199
1719823265.030358,1830,1802.30701754386,1508.3947368421052,1787.2857142857142,1508.5357142857142,1801.064956665039,1485.110450744629,1255.4736842105262,1520.122807017544,1240.4642857142858,1520.6309523809523,1252.74365234375,1494.7694549560547,3854.917095794634,4834.707335762662
1719823265.0538971,1831,1802.4761904761904,1508.1190476190477,1787.4333333333334,1508.5,1801.471046447754,1485.2436065673828,1255.5299145299143,1519.923076923077,1240.3908045977012,1520.3333333333333,1252.4262237548828,1494.5610885620115,3837.672461590949,4979.176921911648
1719823265.0768683,1832,1802.5,1508.0,1787.357142857143,1508.190476190476,1801.1994857788086,1485.4237213134766,1255.4471544715448,1519.7235772357724,1240.4642857142858,1520.3690476190477,1252.7771377563477,1494.754493713379,3861.510702741332,4249.9146541321015
1719823265.101803,1833,1802.4263565891472,1508.15503875969,1787.5,1508.2444444444443,1801.3896102905271,1485.4216766357422,1255.5,1520.0,1240.607142857143,1520.154761904762,1252.6150283813477,1494.4104766845703,3910.927304054639,4702.299545152539
1719823265.142284,1834,1802.4761904761904,1507.8809523809523,1787.642857142857,1508.190476190476,1801.2285079956057,1485.429931640625,1255.4736842105262,1519.877192982456,1240.4642857142858,1520.3690476190477,1252.7787399291992,1494.519073486328,3828.3220459029817,4846.220888510452
1719823265.195946,1835,1802.5,1508.0,1787.6153846153843,1508.3205128205127,1801.0396728515625,1485.4028701782229,1255.5040650406504,1520.040650406504,1240.642857142857,1520.190476190476,1252.498306274414,1494.881721496582,3847.414875059266,4759.271906194619
1719823265.216884,1836,1802.6260162601625,1508.2113821138212,1787.861111111111,1508.3472222222222,1801.2416229248047,1485.5069961547852,1255.5271317829456,1520.15503875969,1240.4642857142858,1520.3690476190477,1252.5436401367188,1494.9518585205078,3783.2015861077048,4938.574793680502
1719823265.2291274,1837,1802.63963963964,1508.2252252252251,1787.7777777777778,1508.3472222222222,1801.695251464844,1485.4910354614258,1255.6821705426355,1520.3100775193798,1240.6923076923076,1520.6025641025642,1251.3985748291016,1495.0703964233398,3909.010929641518,5144.298522985526
